aX,aY,aZ,gX,gY,gZ
0.354,-0.785,-0.384,-15.625,-73.914,-48.767
0.354,-0.805,-0.37,-8.911,-63.477,-52.734
0.386,-0.803,-0.346,-7.568,-55.908,-57.129
0.434,-0.781,-0.342,-11.658,-53.772,-58.96
0.47,-0.725,-0.39,-19.348,-57.434,-55.786
0.434,-0.691,-0.443,-28.503,-65.247,-46.204
0.398,-0.703,-0.454,-35.034,-74.707,-36.255
0.34,-0.711,-0.464,-37.109,-81.604,-29.053
0.248,-0.724,-0.482,-34.851,-84.106,-22.461
0.183,-0.769,-0.474,-31.86,-82.275,-15.564
0.203,-0.822,-0.446,-31.067,-76.965,-9.766
0.27,-0.855,-0.408,-32.227,-69.275,-6.409
0.304,-0.889,-0.392,-31.982,-62.012,-5.31
0.317,-0.893,-0.398,-31.555,-58.167,-5.432
0.338,-0.917,-0.401,-33.569,-56.458,-6.531
0.355,-0.946,-0.397,-38.452,-55.054,-9.338
0.377,-0.945,-0.405,-42.419,-53.467,-15.808
0.386,-0.969,-0.404,-43.701,-53.284,-26.367
0.397,-0.991,-0.397,-43.396,-53.772,-38.086
0.381,-1.018,-0.367,-44.434,-54.382,-49.255
0.346,-1.026,-0.343,-49.316,-54.321,-57.495
0.321,-0.984,-0.337,-57.007,-53.101,-64.087
0.297,-0.973,-0.306,-64.026,-50.476,-69.458
0.276,-0.937,-0.272,-67.627,-45.471,-71.899
0.296,-0.897,-0.248,-66.223,-39.49,-69.763
0.326,-0.9,-0.245,-61.218,-33.752,-64.148
0.329,-0.924,-0.238,-54.26,-28.442,-55.847
0.284,-0.967,-0.207,-48.401,-24.231,-46.753
0.241,-1,-0.167,-47.485,-20.081,-40.1
0.257,-1.024,-0.118,-50.049,-16.968,-37.537
0.284,-1.053,-0.073,-54.565,-16.235,-36.804
0.273,-1.062,-0.054,-57.861,-17.456,-36.255
-0.574,-1.649,-0.273,16.296,-8.667,-5.859
-0.82,-1.791,-0.254,23.865,-16.296,2.502
-1.073,-1.944,-0.24,36.377,-28.259,16.174
-1.309,-2.077,-0.294,58.899,-40.955,33.02
-1.521,-2.221,-0.378,90.027,-55.054,49.744
-1.672,-2.361,-0.466,119.812,-69.397,64.209
-1.715,-2.431,-0.581,143.066,-78.613,78.613
-1.697,-2.448,-0.72,159.058,-86.548,95.581
-1.661,-2.455,-0.862,172.791,-95.947,112.488
-1.619,-2.478,-0.99,188.171,-109.68,124.146
-1.559,-2.496,-1.077,201.904,-123.718,132.141
-1.431,-2.488,-1.13,205.139,-136.414,136.841
-1.263,-2.5,-1.188,197.388,-149.17,132.263
-1.224,-2.474,-1.241,192.444,-160.4,108.643
-1.291,-2.395,-1.236,193.787,-164.978,66.589
-1.339,-2.152,-1.161,176.819,-164.856,21.851
-1.316,-1.654,-1.056,134.338,-163.635,-6.592
-1.223,-1.064,-0.963,84.229,-169.861,-8.728
-1.036,-0.53,-0.964,38.391,-189.88,20.691
-0.714,-0.087,-1.077,-9.155,-222.9,79.834
-0.278,0.113,-1.22,-58.838,-252.93,139.404
0.039,-0.068,-1.295,-81.238,-247.07,149.658
-0.059,-0.185,-0.899,-72.205,-163.147,97.046
0.152,-0.062,0.145,-73.975,5.005,24.719
1.012,0.585,1.292,-115.723,200.256,2.258
1.978,1.396,1.997,-162.415,318.237,22.339
2.539,1.854,2.431,-187.073,313.171,57.678
2.657,1.955,2.563,-214.722,219.604,102.661
2.306,1.855,2.79,-260.193,106.995,143.311
1.989,1.783,3.11,-308.289,41.382,162.964
1.676,1.62,3.397,-333.618,12.329,160.4
1.077,1.232,3.639,-311.951,-4.15,144.043
0.506,0.698,3.64,-251.953,-15.259,135.986
